,57,,1921,,3335,,,,,0.0254,,,
shot,57t1,57t2,1921t1,1921t2,3335t1,3335t2,57dt1,1921dt2,3335dt3,57v,1921v,3335v,flag
29,,,,,,,0.29618962,0.485354697,0.592680654,85.75587494,52.33286126,42.85613142,0
30,,,,,,,0.284268418,0.35040984,0.598302823,89.35216987,72.48654886,42.45341829,0
31,,,,,,,0.297279014,0.495077098,0.5608393,85.44161816,51.30514032,45.28926556,0
32,,,,,,,0.29616222,0.482486929,0.546356719,85.76380869,52.64391314,46.48977326,0
33,,,,,,,0.37484682,0.489963137,0.519464233,67.76101235,51.84063474,48.89653298,0
34,,,,,,,0.339254962,0.308939375,0.521671886,74.86994405,82.21677785,48.68960866,0
35,,,,,,,0.376637798,0.403879031,0.589568456,67.43879705,62.89011819,43.08235925,0
36,,,,,,,0.340555245,0.401272784,0.57715296,74.58408114,63.29858644,44.00913064,0
37,,,,,,,0.382281358,0.482970121,0.567718034,66.44320849,52.59124506,44.74051989,0
38,,,,,,,0.391354312,0.417248837,0.618884553,64.90282398,60.87494505,41.04158015,0
39,,,,,,,0.257741935,0.476235183,0.481556855,98.54818553,53.33499273,52.74558913,0
40,,,,,,,0.360230469,0.509480225,0.552694964,70.51041547,49.85473187,45.95663371,0
41,,,,,,,0.455825425,0.347766944,0.57054273,55.7230874,73.03741905,44.51901435,0
42,,,,,,,0.466321852,0.44046211,0.517401277,54.46881782,57.66670821,49.09149073,0
43,,,,,,,0.282453651,0.334871238,0.517812031,89.92625841,75.85004947,49.05254899,0
44,,,,,,,0.475936695,0.355127768,0.489062317,53.36844218,71.52355381,51.93612171,0
45,,,,,,,0.261042176,0.412985146,0.572415624,97.30228411,61.50342268,44.37335203,0
46,,,,,,,0.318879002,0.46449502,0.540873785,79.65403765,54.68304047,46.9610484,0
47,,,,,,,0.294212431,0.402438753,0.54485755,86.33217805,63.1151941,46.61768935,0
48,,,,,,,0.391699797,0.477572669,0.605235885,64.84557869,53.1856231,41.9671084,0
49,,,,,,,0.265297698,0.425677412,0.545409586,95.74150184,59.6695979,46.57050531,0
50,,,,,,,0.379854051,0.466283768,0.492142758,66.86778752,54.47326663,51.61104093,0
51,,,,,,,0.445010442,0.355955432,0.514615301,57.07731232,71.35724791,49.35725761,0
52,,,,,,,0.288399071,0.271691123,0.466090713,88.07240588,93.48851654,54.49582946,0
53,,,,,,,0.267271045,0.464865234,0.612502491,95.03461176,54.63949147,41.4692191,0
54,,,,,,,0.415889907,0.517765159,0.601147844,61.07385527,49.05698957,42.25250122,0
55,,,,,,,0.440218971,0.398131111,0.562032996,57.69855832,63.79807878,45.19307614,0
56,,,,,,,0.267895122,0.346434147,0.591083614,94.81322309,73.31840763,42.97192375,0
57,,,,,,,0.222124682,0.398117102,0.516699721,114.350192,63.80032371,49.15814533,0
58,,,,,,,0.345668493,0.420576419,0.560202636,73.48080752,60.39330508,45.34073632,0
59,,,,,,,0.556148233,0.408615311,0.583641169,45.67127703,62.16115584,43.51989093,0
60,,,,,,,0.390309249,0.293026621,0.478749581,65.07660291,86.68154433,53.05487677,0
61,,,,,,,0.367421095,0.402986171,0.543097858,69.13048905,63.02945819,46.7687354,0
62,,,,,,,0.293393584,0.482876345,0.544004362,86.57312691,52.60145844,46.69080208,0
63,,,,,,,0.433097857,0.421888773,0.607598582,58.64725388,60.20544186,41.80391588,0
64,,,,,,,0.265929567,0.442481543,0.550164741,95.51401262,57.40352434,46.16798951,0
65,,,,,,,0.242063777,0.518654719,0.494053539,104.9310241,48.97285049,51.41143213,0
66,,,,,,,0.368378939,0.363921403,0.567870714,68.95073872,69.79529044,44.7284908,0
67,,,,,,,0.567870714,0.382938723,0.576040659,44.7284908,66.32915004,44.09410968,0
68,,,,,,,0.318563229,0.385285153,0.56261956,79.73299389,65.92519795,45.14595976,0
69,,,,,,,0.358243302,0.432918179,0.611847911,70.90153504,58.6715948,41.51358458,0
70,,,,,,,0.38821233,0.397028592,0.559339644,65.42811257,63.97524129,45.41069148,0
71,,,,,,,0.183602429,0.356988565,0.489953399,138.3423962,71.15073832,51.84166507,0
72,,,,,,,0.318292885,0.374909498,0.559867613,79.80071553,67.74968394,45.36786804,0
73,,,,,,,0.346262959,0.548206479,0.669729742,73.3546553,46.33290731,37.9257459,0
74,,,,,,,0.355414026,0.391702478,0.438414714,71.46594721,64.84513478,57.93601165,0
75,,,,,,,0.359469512,0.310368213,0.5863752,70.65967804,81.83827771,43.31697521,0
76,,,,,,,0.311693238,0.485603515,0.576682797,81.49037875,52.30604638,44.04501076,0
77,,,,,,,0.311946911,0.406146486,0.559495118,81.4241114,62.53901208,45.39807264,0
78,,,,,,,0.356036933,0.489879003,0.585760639,71.34091329,51.84953807,43.36242198,0
